Sub Graphs / shape is (Samples, (Node-list, Edge-list)) : (9998, 2)
Adjacency matrices                                      : (9998, 10, 10)
Features                                                : (9998, 10, 399)
Train A : (6698, 10, 10) / Train F :(6698, 10, 399) / Test A : (3300, 10, 10) / Test F : (3300, 10, 399)
0 / 6698  Loss :  tensor(0.0042, device='cuda:0')
100 / 6698  Loss :  tensor(0.0003, device='cuda:0')
200 / 6698  Loss :  tensor(0.0002, device='cuda:0')
300 / 6698  Loss :  tensor(0.0008, device='cuda:0')
400 / 6698  Loss :  tensor(9.5144e-05, device='cuda:0')
500 / 6698  Loss :  tensor(0.0005, device='cuda:0')
600 / 6698  Loss :  tensor(0.0003, device='cuda:0')
700 / 6698  Loss :  tensor(0.0002, device='cuda:0')
800 / 6698  Loss :  tensor(0.0002, device='cuda:0')
900 / 6698  Loss :  tensor(0.0002, device='cuda:0')
1000 / 6698  Loss :  tensor(0.0001, device='cuda:0')
1100 / 6698  Loss :  tensor(0.0002, device='cuda:0')
1200 / 6698  Loss :  tensor(0.0002, device='cuda:0')
1300 / 6698  Loss :  tensor(4.2373e-05, device='cuda:0')
1400 / 6698  Loss :  tensor(0.0005, device='cuda:0')
1500 / 6698  Loss :  tensor(0.0002, device='cuda:0')
1600 / 6698  Loss :  tensor(0.0001, device='cuda:0')
1700 / 6698  Loss :  tensor(0.0003, device='cuda:0')
1800 / 6698  Loss :  tensor(0.0001, device='cuda:0')
1900 / 6698  Loss :  tensor(0.0003, device='cuda:0')
2000 / 6698  Loss :  tensor(0.0010, device='cuda:0')
2100 / 6698  Loss :  tensor(0.0002, device='cuda:0')
2200 / 6698  Loss :  tensor(0.0001, device='cuda:0')
2300 / 6698  Loss :  tensor(0.0004, device='cuda:0')
2400 / 6698  Loss :  tensor(0.0002, device='cuda:0')
2500 / 6698  Loss :  tensor(0.0002, device='cuda:0')
2600 / 6698  Loss :  tensor(7.3880e-05, device='cuda:0')
2700 / 6698  Loss :  tensor(0.0002, device='cuda:0')
2800 / 6698  Loss :  tensor(0.0003, device='cuda:0')
2900 / 6698  Loss :  tensor(0.0001, device='cuda:0')
3000 / 6698  Loss :  tensor(0.0002, device='cuda:0')
3100 / 6698  Loss :  tensor(0.0002, device='cuda:0')
3200 / 6698  Loss :  tensor(0.0002, device='cuda:0')
3300 / 6698  Loss :  tensor(0.0002, device='cuda:0')
3400 / 6698  Loss :  tensor(0.0003, device='cuda:0')
3500 / 6698  Loss :  tensor(8.3714e-05, device='cuda:0')
3600 / 6698  Loss :  tensor(0.0001, device='cuda:0')
3700 / 6698  Loss :  tensor(8.4202e-05, device='cuda:0')
3800 / 6698  Loss :  tensor(0.0002, device='cuda:0')
3900 / 6698  Loss :  tensor(0.0004, device='cuda:0')
4000 / 6698  Loss :  tensor(0.0002, device='cuda:0')
4100 / 6698  Loss :  tensor(0.0001, device='cuda:0')
4200 / 6698  Loss :  tensor(0.0002, device='cuda:0')
4300 / 6698  Loss :  tensor(0.0001, device='cuda:0')
4400 / 6698  Loss :  tensor(0.0004, device='cuda:0')
4500 / 6698  Loss :  tensor(0.0001, device='cuda:0')
4600 / 6698  Loss :  tensor(0.0001, device='cuda:0')
4700 / 6698  Loss :  tensor(0.0002, device='cuda:0')
4800 / 6698  Loss :  tensor(0.0002, device='cuda:0')
4900 / 6698  Loss :  tensor(0.0001, device='cuda:0')
5000 / 6698  Loss :  tensor(8.8758e-05, device='cuda:0')
5100 / 6698  Loss :  tensor(8.9821e-05, device='cuda:0')
5200 / 6698  Loss :  tensor(0.0001, device='cuda:0')
5300 / 6698  Loss :  tensor(0.0001, device='cuda:0')
5400 / 6698  Loss :  tensor(0.0002, device='cuda:0')
5500 / 6698  Loss :  tensor(0.0002, device='cuda:0')
5600 / 6698  Loss :  tensor(0.0001, device='cuda:0')
5700 / 6698  Loss :  tensor(0.0001, device='cuda:0')
5800 / 6698  Loss :  tensor(0.0001, device='cuda:0')
5900 / 6698  Loss :  tensor(0.0002, device='cuda:0')
6000 / 6698  Loss :  tensor(0.0005, device='cuda:0')
6100 / 6698  Loss :  tensor(0.0002, device='cuda:0')
6200 / 6698  Loss :  tensor(0.0001, device='cuda:0')
6300 / 6698  Loss :  tensor(0.0002, device='cuda:0')
6400 / 6698  Loss :  tensor(0.0002, device='cuda:0')
6500 / 6698  Loss :  tensor(0.0001, device='cuda:0')
6600 / 6698  Loss :  tensor(0.0001, device='cuda:0')
--- 836.4284188747406 seconds ---
Sub Graphs / shape is (Samples, (Node-list, Edge-list)) : (9998, 2)
Adjacency matrices                                      : (9998, 10, 10)
Features                                                : (9998, 10, 399)
Train A : (6698, 10, 10) / Train F :(6698, 10, 399) / Test A : (3300, 10, 10) / Test F : (3300, 10, 399)
